model,accuracy,balanced_accuracy,precision,recall,f1,kappa,roc_auc
CatBoost,0.9338118022328549,0.9356784038043714,0.9378470077560573,0.9338118022328549,0.9318710683255302,0.9328517521885018,0.9990294170822859
LightGBM,0.9114832535885168,0.9134420252018935,0.9116574448830452,0.9114832535885168,0.9102653860556581,0.9101997367809863,0.9977032175711088
LogisticRegression,0.8740031897926634,0.8739637028610843,0.8678506095649198,0.8740031897926634,0.8617173736641627,0.8721780161051622,0.9986244168456293
MLP,0.8995215311004785,0.8921910895095235,0.9034356022786888,0.8995215311004785,0.8909936811198653,0.8980634480907703,0.9989252765154806
RandomForest_Tuned,0.9258373205741627,0.9276703042328042,0.9295032464624782,0.9258373205741627,0.9245196710302541,0.9247602912504855,0.9988628530419504
ResidualCatBoost_RF,0.9210526315789473,0.9227092297799858,0.9247811750677285,0.9210526315789473,0.918134607075064,0.9199085967327589,0.9990119877180303
ResidualCatBoost_SVC,0.9226475279106858,0.9230676285000976,0.9270019450986111,0.9226475279106858,0.9201510126545595,0.9215254910866356,0.9990945783259008
VotingClassifier_Ensemble,0.9242424242424242,0.9241804260912233,0.9292991279793513,0.9242424242424242,0.9211688796706157,0.9231443155308738,0.9989752136048938
XGBoost,0.919457735247209,0.9220111911723754,0.9203661200449433,0.919457735247209,0.9180854541126596,0.9182889544219667,0.9987189416272799
